sexo,comunidad_autonoma,edad,periodo,tasa_paro,año,trimestre
Todos,Asturias,De 16 a 19 años,2024T2,34.66,2024,2
Todos,Asturias,De 16 a 19 años,2024T1,50.39,2024,1
Todos,Asturias,De 16 a 19 años,2023T4,62.79,2023,4
Todos,Asturias,De 16 a 19 años,2023T3,72.67,2023,3
Todos,Asturias,De 16 a 19 años,2023T2,78.46,2023,2
Todos,Asturias,De 16 a 19 años,2023T1,56.64,2023,1
Todos,Asturias,De 16 a 19 años,2022T4,72.68,2022,4
Todos,Asturias,De 16 a 19 años,2022T3,74.62,2022,3
Todos,Asturias,De 16 a 19 años,2022T2,50.97,2022,2
Todos,Asturias,De 16 a 19 años,2022T1,59.06,2022,1
Todos,Asturias,De 16 a 19 años,2021T4,91.98,2021,4
Todos,Asturias,De 16 a 19 años,2021T3,28.33,2021,3
Todos,Asturias,De 16 a 19 años,2021T2,66.53,2021,2
Todos,Asturias,De 16 a 19 años,2021T1,29.81,2021,1
Todos,Asturias,De 20 a 24 años,2025T2,22.43,2025,2
Todos,Asturias,De 20 a 24 años,2025T1,25.89,2025,1
Todos,Asturias,De 20 a 24 años,2024T4,24.84,2024,4
Todos,Asturias,De 20 a 24 años,2024T3,25.81,2024,3
Todos,Asturias,De 20 a 24 años,2024T2,30.84,2024,2
Todos,Asturias,De 20 a 24 años,2024T1,30.45,2024,1
Todos,Asturias,De 20 a 24 años,2023T4,19.13,2023,4
Todos,Asturias,De 20 a 24 años,2023T3,24.09,2023,3
Todos,Asturias,De 20 a 24 años,2023T2,17.05,2023,2
Todos,Asturias,De 20 a 24 años,2023T1,21.83,2023,1
Todos,Asturias,De 20 a 24 años,2022T4,41.61,2022,4
Todos,Asturias,De 20 a 24 años,2022T3,39.53,2022,3
Todos,Asturias,De 20 a 24 años,2022T2,28.7,2022,2
Todos,Asturias,De 20 a 24 años,2022T1,22.6,2022,1
Todos,Asturias,De 20 a 24 años,2021T4,5.95,2021,4
Todos,Asturias,De 20 a 24 años,2021T3,32.04,2021,3
Todos,Asturias,De 20 a 24 años,2021T2,36.52,2021,2
Todos,Asturias,De 20 a 24 años,2021T1,34.57,2021,1
Todos,Asturias,25a54,2025T2,6.38,2025,2
Todos,Asturias,25a54,2025T1,7.48,2025,1
Todos,Asturias,25a54,2024T4,6.04,2024,4
Todos,Asturias,25a54,2024T3,7.3,2024,3
Todos,Asturias,25a54,2024T2,10.43,2024,2
