id_geo___ca,comunidad_provincia,total,s_limitadas,s_anonimas,sotras,personas_fisicas,año,trimestre
1106,Badajoz,73.0,9.0,0.0,1.0,63.0,2022,4
1110,Cáceres,19.0,4.0,1.0,0.0,14.0,2022,4
1227,Lugo,47.0,9.0,0.0,0.0,38.0,2022,4
1232,Ourense,17.0,2.0,0.0,0.0,15.0,2022,4
1236,Pontevedra,87.0,19.0,0.0,0.0,68.0,2022,4
1328,Madrid,1333.0,423.0,27.0,8.0,875.0,2022,4
1430,Murcia,282.0,37.0,2.0,1.0,242.0,2022,4
1531,Navarra,34.0,5.0,0.0,0.0,29.0,2022,4
1601,Araba/Álava,30.0,4.0,3.0,1.0,22.0,2022,4
1648,Bizkaia,111.0,30.0,6.0,1.0,74.0,2022,4
1620,Gipuzkoa,65.0,17.0,0.0,2.0,46.0,2022,4
1851,Ceuta,12.0,1.0,0.0,0.0,11.0,2022,4
1952,Melilla,2.0,0.0,0.0,0.0,2.0,2022,4
104,Almería,97.0,9.0,0.0,0.0,88.0,2023,1
111,Cádiz,68.0,6.0,1.0,0.0,61.0,2023,1
114,Córdoba,51.0,10.0,1.0,0.0,40.0,2023,1
118,Granada,116.0,10.0,0.0,0.0,106.0,2023,1
121,Huelva,27.0,3.0,1.0,0.0,23.0,2023,1
123,Jaén,49.0,5.0,0.0,0.0,44.0,2023,1
129,Málaga,110.0,16.0,0.0,1.0,93.0,2023,1
141,Sevilla,407.0,41.0,2.0,3.0,361.0,2023,1
943,Aragón,263.0,40.0,5.0,0.0,218.0,2023,1
222,Huesca,27.0,3.0,1.0,0.0,23.0,2023,1
244,Teruel,17.0,5.0,0.0,0.0,12.0,2023,1
250,Zaragoza,219.0,32.0,4.0,0.0,183.0,2023,1
333,Asturias,158.0,13.0,3.0,2.0,140.0,2023,1
407,"Balears, Illes",263.0,25.0,0.0,1.0,237.0,2023,1
639,Canarias,239.0,23.0,0.0,2.0,214.0,2023,1
538,Santa Cruz de Tenerife,74.0,9.0,0.0,1.0,64.0,2023,1
