,Comunidad/Provincia,Total,Personas Físicas SIN actividad empresarial,Personas Físicas CON actividad empresarial,Unnamed: 4,S. Limitadas,S. Anónimas,S.Otras,Filename,Personas Físicas,Unnamed: 3
335,Ávila,2,1.0,0.0,,0,1,0,2022_2T.xlsx,,
336,Burgos,8,3.0,1.0,,4,0,0,2022_2T.xlsx,,
337,León,22,17.0,0.0,,5,0,0,2022_2T.xlsx,,
338,Palencia,1,0.0,0.0,,1,0,0,2022_2T.xlsx,,
339,Salamanca,15,12.0,0.0,,3,0,0,2022_2T.xlsx,,
340,Segovia,12,11.0,0.0,,1,0,0,2022_2T.xlsx,,
341,Soria,10,7.0,0.0,,3,0,0,2022_2T.xlsx,,
342,Valladolid,37,19.0,13.0,,4,1,0,2022_2T.xlsx,,
343,Zamora,4,1.0,1.0,,1,1,0,2022_2T.xlsx,,
344,Castilla-La Mancha,111,61.0,21.0,,27,2,0,2022_2T.xlsx,,
345,Albacete,23,8.0,8.0,,7,0,0,2022_2T.xlsx,,
346,Ciudad Real,14,5.0,0.0,,9,0,0,2022_2T.xlsx,,
347,Cuenca,5,3.0,1.0,,1,0,0,2022_2T.xlsx,,
348,Guadalajara,42,39.0,1.0,,2,0,0,2022_2T.xlsx,,
349,Toledo,27,6.0,11.0,,8,2,0,2022_2T.xlsx,,
350,Cataluña,1185,432.0,429.0,,308,14,2,2022_2T.xlsx,,
351,Barcelona,980,325.0,369.0,,273,11,2,2022_2T.xlsx,,
352,Girona,83,22.0,50.0,,10,1,0,2022_2T.xlsx,,
