,Comunidad/Provincia,Total,"V_Menos de 0,25","V_Entre 0,25 y 0,5","V_Entre 0,5 y 1",V_Entre 1 y 2,V_Entre 2 y 5,V_Entre 5 y 10,V_10 o mas,SD,Filename
287,Cataluña,320,141,36,23,13,8,1,1,97,2022_1T.xlsx
288,Barcelona,275,123,31,21,8,7,1,1,83,2022_1T.xlsx
289,Girona,25,7,3,2,3,1,0,0,9,2022_1T.xlsx
290,Lleida,15,8,2,0,1,0,0,0,4,2022_1T.xlsx
291,Tarragona,5,3,0,0,1,0,0,0,1,2022_1T.xlsx
292,Comunitat Valenciana,203,102,25,16,5,7,4,0,44,2022_1T.xlsx
293,Alicante,60,27,8,6,2,0,0,0,17,2022_1T.xlsx
294,Castellón,23,12,3,1,0,1,0,0,6,2022_1T.xlsx
295,Valencia,120,63,14,9,3,6,4,0,21,2022_1T.xlsx
296,Extremadura,7,5,0,2,0,0,0,0,0,2022_1T.xlsx
297,Badajoz,4,3,0,1,0,0,0,0,0,2022_1T.xlsx
298,Cáceres,3,2,0,1,0,0,0,0,0,2022_1T.xlsx
299,Galicia,52,27,6,4,2,1,0,0,12,2022_1T.xlsx
300,A Coruña,19,11,3,1,1,1,0,0,2,2022_1T.xlsx
301,Lugo,11,5,0,0,0,0,0,0,6,2022_1T.xlsx
302,Ourense,6,1,1,2,0,0,0,0,2,2022_1T.xlsx
303,Pontevedra,16,10,2,1,1,0,0,0,2,2022_1T.xlsx
304,Madrid,325,185,32,20,10,6,3,0,69,2022_1T.xlsx
305,Murcia,38,15,1,4,4,3,4,0,7,2022_1T.xlsx
306,Navarra,7,5,1,0,1,0,0,0,0,2022_1T.xlsx
307,Pais Vasco,66,35,6,4,5,1,0,0,15,2022_1T.xlsx
308,Araba/Álava,11,7,2,1,1,0,0,0,0,2022_1T.xlsx
309,Bizkaia,41,21,3,2,3,1,0,0,11,2022_1T.xlsx
310,Gipuzkoa,14,7,1,1,1,0,0,0,4,2022_1T.xlsx
311,La Rioja,7,3,2,0,0,0,0,0,2,2022_1T.xlsx
312,Ceuta y Melilla,1,0,1,0,0,0,0,0,0,2022_1T.xlsx
313,Ceuta,0,0,0,0,0,0,0,0,0,2022_1T.xlsx
314,Melilla,1,0,1,0,0,0,0,0,0,2022_1T.xlsx
315,Andalucía,104,48,6,11,4,4,0,0,31,2022_2T.xlsx
316,Almería,14,3,0,3,2,0,0,0,6,2022_2T.xlsx
317,Cádiz,5,2,0,1,0,0,0,0,2,2022_2T.xlsx
318,Córdoba,8,1,1,1,0,0,0,0,5,2022_2T.xlsx
319,Granada,19,10,1,0,0,1,0,0,7,2022_2T.xlsx
320,Huelva,8,3,0,1,0,2,0,0,2,2022_2T.xlsx
321,Jaén,4,3,1,0,0,0,0,0,0,2022_2T.xlsx
322,Málaga,23,13,3,1,2,1,0,0,3,2022_2T.xlsx
323,Sevilla,23,13,0,4,0,0,0,0,6,2022_2T.xlsx
324,Aragón,36,20,5,3,3,0,0,0,5,2022_2T.xlsx
