,PJ,Comunidad/Provincia,Total,T_Voluntario,T_Necesario,T_Consecutivo,Unnamed: 6,C_Ordinario,C_Especial,C_Sin Masa,Filename
305,fisica,Bizkaia,20,15,0,5,,16,0,4,2021_3T.xlsx
306,fisica,Gipuzkoa,5,4,0,1,,1,0,4,2021_3T.xlsx
307,fisica,La Rioja,14,2,0,12,,8,0,6,2021_3T.xlsx
308,fisica,Ceuta y Melilla,1,1,0,0,,0,0,1,2021_3T.xlsx
309,fisica,Ceuta,1,1,0,0,,0,0,1,2021_3T.xlsx
310,fisica,Melilla,0,0,0,0,,0,0,0,2021_3T.xlsx
311,empresas,Andalucía,75,74,0,1,,35,12,28,2021_3T.xlsx
312,empresas,Almería,10,10,0,0,,0,2,8,2021_3T.xlsx
313,empresas,Cádiz,6,6,0,0,,3,0,3,2021_3T.xlsx
314,empresas,Córdoba,6,6,0,0,,0,2,4,2021_3T.xlsx
315,empresas,Granada,5,4,0,1,,5,0,0,2021_3T.xlsx
316,empresas,Huelva,4,4,0,0,,1,0,3,2021_3T.xlsx
317,empresas,Jaén,3,3,0,0,,1,0,2,2021_3T.xlsx
318,empresas,Málaga,19,19,0,0,,8,8,3,2021_3T.xlsx
319,empresas,Sevilla,22,22,0,0,,17,0,5,2021_3T.xlsx
320,empresas,Aragón,28,27,0,1,,13,1,14,2021_3T.xlsx
321,empresas,Huesca,1,1,0,0,,1,0,0,2021_3T.xlsx
322,empresas,Teruel,1,0,0,1,,1,0,0,2021_3T.xlsx
323,empresas,Zaragoza,26,26,0,0,,11,1,14,2021_3T.xlsx
324,empresas,Asturias,10,10,0,0,,4,1,5,2021_3T.xlsx
325,empresas,"Balears, Illes",21,21,0,0,,11,3,7,2021_3T.xlsx
326,empresas,Canarias,29,28,1,0,,14,4,11,2021_3T.xlsx
327,empresas,Las Palmas de Gran Canaria,20,19,1,0,,10,4,6,2021_3T.xlsx
328,empresas,Santa Cruz de Tenerife,9,9,0,0,,4,0,5,2021_3T.xlsx
329,empresas,Cantabria,4,4,0,0,,1,0,3,2021_3T.xlsx
330,empresas,Castilla y León,34,34,0,0,,15,3,16,2021_3T.xlsx
331,empresas,Ávila,1,1,0,0,,0,0,1,2021_3T.xlsx
332,empresas,Burgos,3,3,0,0,,3,0,0,2021_3T.xlsx
333,empresas,León,4,4,0,0,,2,0,2,2021_3T.xlsx
334,empresas,Palencia,3,3,0,0,,2,0,1,2021_3T.xlsx
