,Comunidad/Provincia,Total,NA0,NA1-2,NA3-5,NA6-9,NA10-19,NA20-49,NA50-99,NA100 o más,SD,Filename
177,Pontevedra,14,1,3,3,0,2,0,0,0,5,2021_3T.xlsx
178,Madrid,205,42,41,24,18,26,7,2,0,45,2021_3T.xlsx
179,Murcia,16,3,3,5,0,3,2,0,0,0,2021_3T.xlsx
180,Navarra,6,1,0,1,1,1,1,0,1,0,2021_3T.xlsx
181,Pais Vasco,51,9,9,12,7,6,2,1,1,4,2021_3T.xlsx
182,Araba/Álava,5,0,0,3,0,2,0,0,0,0,2021_3T.xlsx
183,Bizkaia,22,5,6,5,2,1,0,0,1,2,2021_3T.xlsx
184,Gipuzkoa,24,4,3,4,5,3,2,1,0,2,2021_3T.xlsx
185,La Rioja,7,2,2,0,0,0,0,0,0,3,2021_3T.xlsx
186,Ceuta y Melilla,1,0,1,0,0,0,0,0,0,0,2021_3T.xlsx
187,Ceuta,1,0,1,0,0,0,0,0,0,0,2021_3T.xlsx
188,Melilla,0,0,0,0,0,0,0,0,0,0,2021_3T.xlsx
189,Andalucía,116,29,19,13,12,8,6,1,1,27,2021_4T.xlsx
190,Almería,12,3,1,3,0,2,2,0,0,1,2021_4T.xlsx
191,Cádiz,24,6,3,2,1,2,1,0,0,9,2021_4T.xlsx
192,Córdoba,10,2,3,0,1,0,2,0,0,2,2021_4T.xlsx
193,Granada,9,3,2,2,1,0,0,0,0,1,2021_4T.xlsx
194,Huelva,5,3,0,0,1,0,0,0,0,1,2021_4T.xlsx
195,Jaén,8,2,2,1,0,0,0,1,0,2,2021_4T.xlsx
196,Málaga,17,4,0,3,5,1,0,0,0,4,2021_4T.xlsx
197,Sevilla,31,6,8,2,3,3,1,0,1,7,2021_4T.xlsx
198,Aragón,33,6,2,9,3,5,3,1,0,4,2021_4T.xlsx
199,Huesca,5,0,0,1,1,0,3,0,0,0,2021_4T.xlsx
200,Teruel,6,0,1,1,1,1,0,0,0,2,2021_4T.xlsx
201,Zaragoza,22,6,1,7,1,4,0,1,0,2,2021_4T.xlsx
202,Asturias,19,4,4,5,1,0,1,0,0,4,2021_4T.xlsx
203,"Balears, Illes",16,1,2,3,4,1,1,0,0,4,2021_4T.xlsx
204,Canarias,27,6,4,3,2,1,2,0,0,9,2021_4T.xlsx
205,Las Palmas de Gran Canaria,17,3,1,3,0,1,1,0,0,8,2021_4T.xlsx
206,Santa Cruz de Tenerife,10,3,3,0,2,0,1,0,0,1,2021_4T.xlsx
207,Cantabria,11,4,1,2,2,1,0,0,0,1,2021_4T.xlsx
208,Castilla y León,26,7,5,6,2,3,0,0,0,3,2021_4T.xlsx
209,Ávila,2,0,1,1,0,0,0,0,0,0,2021_4T.xlsx
210,Burgos,5,3,0,0,0,1,0,0,0,1,2021_4T.xlsx
211,León,5,0,0,2,2,0,0,0,0,1,2021_4T.xlsx
212,Palencia,2,0,0,1,0,1,0,0,0,0,2021_4T.xlsx
213,Salamanca,2,0,0,1,0,0,0,0,0,1,2021_4T.xlsx
214,Segovia,1,0,0,1,0,0,0,0,0,0,2021_4T.xlsx
215,Soria,2,1,0,0,0,1,0,0,0,0,2021_4T.xlsx
216,Valladolid,7,3,4,0,0,0,0,0,0,0,2021_4T.xlsx
217,Zamora,0,0,0,0,0,0,0,0,0,0,2021_4T.xlsx
218,Castilla-La Mancha,32,9,5,3,0,3,2,0,0,10,2021_4T.xlsx
219,Albacete,8,2,1,0,0,1,2,0,0,2,2021_4T.xlsx
220,Ciudad Real,6,3,1,0,0,2,0,0,0,0,2021_4T.xlsx
221,Cuenca,2,0,1,0,0,0,0,0,0,1,2021_4T.xlsx
222,Guadalajara,3,1,1,0,0,0,0,0,0,1,2021_4T.xlsx
223,Toledo,13,3,1,3,0,0,0,0,0,6,2021_4T.xlsx
224,Cataluña,278,65,39,42,27,23,10,4,3,65,2021_4T.xlsx
225,Barcelona,242,55,35,34,22,19,9,4,3,61,2021_4T.xlsx
226,Girona,16,2,3,5,2,3,1,0,0,0,2021_4T.xlsx
227,Lleida,8,3,0,2,1,1,0,0,0,1,2021_4T.xlsx
228,Tarragona,12,5,1,1,2,0,0,0,0,3,2021_4T.xlsx
229,Comunitat Valenciana,175,33,32,29,22,12,8,1,0,38,2021_4T.xlsx
230,Alicante,53,6,9,10,10,1,4,0,0,13,2021_4T.xlsx
231,Castellón,27,8,6,4,3,1,1,0,0,4,2021_4T.xlsx
232,Valencia,95,19,17,15,9,10,3,1,0,21,2021_4T.xlsx
