,Comunidad/Provincia,Total,A_Hasta 4,A_Entre 5 y 8,A_Entre 9 y 12,A_Entre 13 y 16,A_Entre 17 y 19,A_20 o más,Filename
394,Las Palmas de Gran Canaria,15,2,6,4,0,1,2,2022_3T.xlsx
395,Santa Cruz de Tenerife,13,4,5,1,0,0,3,2022_3T.xlsx
396,Cantabria,11,5,2,1,1,0,2,2022_3T.xlsx
397,Castilla y León,42,4,15,2,7,0,14,2022_3T.xlsx
398,Ávila,0,0,0,0,0,0,0,2022_3T.xlsx
399,Burgos,4,2,1,0,1,0,0,2022_3T.xlsx
400,León,6,0,2,0,1,0,3,2022_3T.xlsx
401,Palencia,4,1,0,0,1,0,2,2022_3T.xlsx
402,Salamanca,5,0,3,0,1,0,1,2022_3T.xlsx
403,Segovia,7,0,3,0,3,0,1,2022_3T.xlsx
404,Soria,1,0,1,0,0,0,0,2022_3T.xlsx
405,Valladolid,15,1,5,2,0,0,7,2022_3T.xlsx
406,Zamora,0,0,0,0,0,0,0,2022_3T.xlsx
407,Castilla-La Mancha,47,18,7,3,5,3,11,2022_3T.xlsx
408,Albacete,16,7,3,1,2,2,1,2022_3T.xlsx
