Unnamed: 0,PJ,Comunidad/Provincia,Total,T_Voluntario,T_Necesario,T_Consecutivo,Unnamed: 6,C_Ordinario,C_Especial,C_Sin Masa,Filename,prov_limpia,comunidad_autonoma_manual
178,fisica,Navarra,14,12,0,2,,13,0,1,2021_2T.xlsx,navarra,Navarra
179,fisica,Pais Vasco,44,31,0,13,,38,0,6,2021_2T.xlsx,pais vasco,
180,fisica,Araba/Álava,9,9,0,0,,9,0,0,2021_2T.xlsx,araba alava,Pais Vasco
181,fisica,Bizkaia,23,15,0,8,,19,0,4,2021_2T.xlsx,bizkaia,Pais Vasco
182,fisica,Gipuzkoa,12,7,0,5,,10,0,2,2021_2T.xlsx,gipuzkoa,Pais Vasco
183,fisica,La Rioja,11,1,0,10,,3,0,8,2021_2T.xlsx,la rioja,La Rioja
184,fisica,Ceuta y Melilla,4,1,0,3,,3,0,1,2021_2T.xlsx,ceuta y melilla,
185,fisica,Ceuta,4,1,0,3,,3,0,1,2021_2T.xlsx,ceuta,Ceuta
186,fisica,Melilla,0,0,0,0,,0,0,0,2021_2T.xlsx,melilla,Melilla
187,empresas,Andalucía,103,99,3,1,,49,22,32,2021_2T.xlsx,andalucia,
188,empresas,Almería,10,10,0,0,,1,7,2,2021_2T.xlsx,almeria,Andalucia
189,empresas,Cádiz,11,11,0,0,,5,1,5,2021_2T.xlsx,cadiz,Andalucia
190,empresas,Córdoba,5,4,0,1,,1,1,3,2021_2T.xlsx,cordoba,Andalucia
191,empresas,Granada,13,11,2,0,,8,2,3,2021_2T.xlsx,granada,Andalucia
192,empresas,Huelva,8,8,0,0,,3,0,5,2021_2T.xlsx,huelva,Andalucia
193,empresas,Jaén,2,2,0,0,,1,0,1,2021_2T.xlsx,jaen,Andalucia
194,empresas,Málaga,22,21,1,0,,8,10,4,2021_2T.xlsx,malaga,Andalucia
195,empresas,Sevilla,32,32,0,0,,22,1,9,2021_2T.xlsx,sevilla,Andalucia
196,empresas,Aragón,38,37,0,1,,15,4,19,2021_2T.xlsx,aragon,
197,empresas,Huesca,7,7,0,0,,5,0,2,2021_2T.xlsx,huesca,Aragon
198,empresas,Teruel,5,4,0,1,,3,1,1,2021_2T.xlsx,teruel,Aragon
199,empresas,Zaragoza,26,26,0,0,,7,3,16,2021_2T.xlsx,zaragoza,Aragon
200,empresas,Asturias,25,25,0,0,,7,2,16,2021_2T.xlsx,asturias,Asturias
201,empresas,"Balears, Illes",30,30,0,0,,20,1,9,2021_2T.xlsx,balears illes,Baleares
202,empresas,Canarias,31,31,0,0,,18,0,13,2021_2T.xlsx,canarias,
203,empresas,Las Palmas de Gran Canaria,17,17,0,0,,9,0,8,2021_2T.xlsx,las palmas de gran canaria,
204,empresas,Santa Cruz de Tenerife,14,14,0,0,,9,0,5,2021_2T.xlsx,santa cruz de tenerife,Canarias
205,empresas,Cantabria,10,10,0,0,,2,0,8,2021_2T.xlsx,cantabria,Cantabria
206,empresas,Castilla y León,39,38,0,1,,19,3,17,2021_2T.xlsx,castilla y leon,
207,empresas,Ávila,2,2,0,0,,1,0,1,2021_2T.xlsx,avila,Castilla y Leon
208,empresas,Burgos,9,9,0,0,,7,0,2,2021_2T.xlsx,burgos,Castilla y Leon
209,empresas,León,3,2,0,1,,2,0,1,2021_2T.xlsx,leon,Castilla y Leon
210,empresas,Palencia,4,4,0,0,,4,0,0,2021_2T.xlsx,palencia,Castilla y Leon
211,empresas,Salamanca,4,4,0,0,,0,1,3,2021_2T.xlsx,salamanca,Castilla y Leon
212,empresas,Segovia,1,1,0,0,,0,0,1,2021_2T.xlsx,segovia,Castilla y Leon
213,empresas,Soria,2,2,0,0,,2,0,0,2021_2T.xlsx,soria,Castilla y Leon
214,empresas,Valladolid,10,10,0,0,,2,2,6,2021_2T.xlsx,valladolid,Castilla y Leon
215,empresas,Zamora,4,4,0,0,,1,0,3,2021_2T.xlsx,zamora,Castilla y Leon
216,empresas,Castilla-La Mancha,31,28,1,2,,12,1,18,2021_2T.xlsx,castilla la mancha,
217,empresas,Albacete,8,8,0,0,,2,0,6,2021_2T.xlsx,albacete,Castilla La Mancha
218,empresas,Ciudad Real,4,3,1,0,,1,0,3,2021_2T.xlsx,ciudad real,Castilla La Mancha
219,empresas,Cuenca,3,3,0,0,,1,0,2,2021_2T.xlsx,cuenca,Castilla La Mancha
220,empresas,Guadalajara,4,4,0,0,,1,0,3,2021_2T.xlsx,guadalajara,Castilla La Mancha
